,id,description,title,lang,url,banner,capacity,starting_at,ending_at,status,event_type_id,host,excerpt,academy_id,eventbrite_id,eventbrite_status,eventbrite_url,published_at,eventbrite_sync_description,eventbrite_sync_status,online_event,sync_with_eventbrite,currency,slug,tags
10,130,PRESENTACIONES FINALES - Demostrando habilidades,PRESENTACIONES FINALES - Demostrando habilidades,,https://www.eventbrite.com/e/presentaciones-finales-demostrando-habilidades-tickets-116676415299,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F127944621%2F400512721347%2F1%2Foriginal.20210304-082555?h=200&w=450&auto=format%2Ccompress&q=75&sharp=10&rect=0%2C0%2C2160%2C1080&s=a066bb75405bda830dfa98dc4cfc6132,50,2021-03-18 17:30:00+00:00,2021-03-18 19:30:00+00:00,ACTIVE,,,PRESENTACIONES FINALES - Demostrando habilidades,6.0,116676415299.0,live,https://www.eventbrite.com/e/presentaciones-finales-demostrando-habilidades-tickets-116676415299,2021-03-04 10:04:51+00:00,2021-03-18 07:30:46.201994+00:00,PERSISTED,True,False,USD,,
11,123,GEEKTALKS - PRESENTACIÓN DE PROYECTOS FINALES,GEEKTALKS - PRESENTACIÓN DE PROYECTOS FINALES,,https://www.eventbrite.com/e/geektalks-presentacion-de-proyectos-finales-tickets-139833785617,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F125099825%2F400512721347%2F1%2Foriginal.20210203-233104?h=200&w=450&auto=format%2Ccompress&q=75&sharp=10&rect=0%2C0%2C2160%2C1080&s=c6f7408141cef6ea5834a9ec267cccde,100,2021-02-18 17:30:00+00:00,2021-02-18 19:00:00+00:00,ACTIVE,,,GEEKTALKS - PRESENTACIÓN DE PROYECTOS FINALES,6.0,139833785617.0,live,https://www.eventbrite.com/e/geektalks-presentacion-de-proyectos-finales-tickets-139833785617,2021-02-04 10:33:30+00:00,2021-02-18 07:31:00.649549+00:00,PERSISTED,True,False,USD,,
12,43,Start-Up founders meet tech talent ,Coffee Talks with Start-Up Founders,,https://www.eventbrite.com/e/coffee-talks-with-start-up-founders-tickets-127788740563,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F116647403%2F187450375408%2F1%2Foriginal.20201103-145752?h=200&w=450&auto=format%2Ccompress&q=75&sharp=10&rect=0%2C0%2C1024%2C512&s=3ef7426a0947d5b257968bb004e72c69,100,2020-11-11 23:30:00+00:00,2020-11-12 00:30:00+00:00,ACTIVE,,,Start-Up founders meet tech talent ,4.0,127788740563.0,live,https://www.eventbrite.com/e/coffee-talks-with-start-up-founders-tickets-127788740563,2020-11-02 21:42:07+00:00,2020-11-11 07:31:18.737218+00:00,PERSISTED,True,False,USD,,
13,41,¿Te gustaría aprender Java? ¡No te pierdas está oportunidad!,Java desde cero,,https://www.eventbrite.com/e/java-desde-cero-tickets-126094968445,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F115542939%2F187450375408%2F1%2Foriginal.20201022-165852?h=200&w=450&auto=format%2Ccompress&q=75&sharp=10&rect=0%2C0%2C1024%2C512&s=7e48536681f79c71e83f47d54865696a,200,2020-11-12 21:30:00+00:00,2020-11-12 22:30:00+00:00,ACTIVE,,,¿Te gustaría aprender Java? ¡No te pierdas está oportunidad!,,126094968445.0,live,https://www.eventbrite.com/e/java-desde-cero-tickets-126094968445,2020-10-20 15:17:57+00:00,2020-11-12 07:30:47.196024+00:00,PERSISTED,True,False,USD,,
14,122,¡Llegó el momento de que conozcas todas las habilidades adquiridas por nuestros estudiantes en los últimos 4 meses!,GeekTALKS: Presentación de proyectos finales,,https://www.eventbrite.com/e/geektalks-presentacion-de-proyectos-finales-tickets-139971234731,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F125078503%2F187450375408%2F1%2Foriginal.20210203-201613?h=200&w=450&auto=format%2Ccompress&q=75&sharp=10&rect=0%2C125%2C4000%2C2000&s=3297fe316851fa0ff8eb3da6623a0db2,100,2021-02-26 20:00:00+00:00,2021-02-26 21:30:00+00:00,ACTIVE,,,¡Llegó el momento de que conozcas todas las habilidades adquiridas por nuestros estudiantes en los últimos 4 meses!,2.0,139971234731.0,live,https://www.eventbrite.com/e/geektalks-presentacion-de-proyectos-finales-tickets-139971234731,2021-02-03 20:35:10+00:00,2021-02-26 07:30:30.453948+00:00,PERSISTED,True,False,USD,,
15,141,"El arte del REBRAND en LinkedIn, y cómo usarlo a tu favor","El arte del REBRAND en LinkedIn, y cómo usarlo a tu favor",,https://www.eventbrite.com/e/el-arte-del-rebrand-en-linkedin-y-como-usarlo-a-tu-favor-tickets-150466927631,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F132808015%2F400512721347%2F1%2Foriginal.20210420-154445?h=200&w=450&auto=format%2Ccompress&q=75&sharp=10&rect=0%2C0%2C2160%2C1080&s=67893c57eecd1924d0778300102b714e,50,2021-05-12 16:30:00+00:00,2021-05-12 18:00:00+00:00,ACTIVE,,,"El arte del REBRAND en LinkedIn, y cómo usarlo a tu favor",6.0,150466927631.0,live,https://www.eventbrite.com/e/el-arte-del-rebrand-en-linkedin-y-como-usarlo-a-tu-favor-tickets-150466927631,2021-04-16 08:28:35+00:00,2021-05-12 07:31:20.379309+00:00,PERSISTED,True,False,USD,,
16,187,Cloud Rocket Summit,Cloud Rocket Summit,,https://www.eventbrite.com/e/cloud-rocket-summit-tickets-162730811237,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F141207361%2F187450375408%2F1%2Foriginal.20210709-190453?h=200&w=450&auto=format%2Ccompress&q=75&sharp=10&rect=0%2C193%2C3840%2C1920&s=042903a477ee0c1d2c8022743dd4b419,400,2021-08-05 15:00:00+00:00,2021-08-05 16:30:00+00:00,ACTIVE,,,Cloud Rocket Summit,,162730811237.0,live,https://www.eventbrite.com/e/cloud-rocket-summit-tickets-162730811237,2021-07-09 15:55:28+00:00,2021-08-05 07:32:01.033953+00:00,PERSISTED,True,False,USD,,
17,42,La validación de ideas. Metodología y acción para no saltar al vacío,La validación de ideas. Metodología y acción para no saltar al vacío,,https://www.eventbrite.com/e/la-validacion-de-ideas-metodologia-y-accion-para-no-saltar-al-vacio-tickets-126964918489,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F115970305%2F400512721347%2F1%2Foriginal.20201027-134510?h=200&w=450&auto=format%2Ccompress&q=75&sharp=10&rect=0%2C0%2C1024%2C512&s=8fafdee92a03f70572a8a5e12a9b71b7,60,2020-11-12 17:30:00+00:00,2020-11-12 19:00:00+00:00,ACTIVE,,,La validación de ideas. Metodología y acción para no saltar al vacío,6.0,126964918489.0,live,https://www.eventbrite.com/e/la-validacion-de-ideas-metodologia-y-accion-para-no-saltar-al-vacio-tickets-126964918489,2020-10-27 14:07:50+00:00,2020-11-12 07:30:47.303594+00:00,PERSISTED,True,False,USD,,
18,124,Which one is the best fit for you? Find out from the professionals.,Software Engineering vs. Full-Stack Development,,https://www.eventbrite.com/e/software-engineering-vs-full-stack-development-tickets-140285147653,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F125271003%2F187450375408%2F1%2Foriginal.20210205-142053?h=200&w=450&auto=format%2Ccompress&q=75&sharp=10&rect=0%2C63%2C1920%2C960&s=9f6946af8d8542e109f544fb3ef85bcb,100,2021-02-17 21:00:00+00:00,2021-02-17 22:00:00+00:00,ACTIVE,,,Which one is the best fit for you? Find out from the professionals.,4.0,140285147653.0,live,https://www.eventbrite.com/e/software-engineering-vs-full-stack-development-tickets-140285147653,2021-02-05 14:46:08+00:00,2021-02-17 07:30:52.543428+00:00,PERSISTED,True,False,USD,,
19,45, Get to know the newest Software Developers in town,Final Project Presentations: PITCH DAY,,https://www.eventbrite.com/e/final-project-presentations-pitch-day-tickets-127887800855,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F116656455%2F187450375408%2F1%2Foriginal.20201103-160758?h=200&w=450&auto=format%2Ccompress&q=75&sharp=10&rect=0%2C85%2C1920%2C960&s=c2de26920d0f994a8d64f265b269a77a,100,2020-11-20 23:00:00+00:00,2020-11-21 01:00:00+00:00,ACTIVE,,, Get to know the newest Software Developers in town,4.0,127887800855.0,live,https://www.eventbrite.com/e/final-project-presentations-pitch-day-tickets-127887800855,2020-11-03 16:14:15+00:00,2020-11-20 07:30:42.438358+00:00,PERSISTED,True,False,USD,,
